Time,Distance,Desired_Roll,Actual_Roll,Pitch,Speed,Heading,Bearing
1744911806.5825858,217.40774791559554,30.0,56.255801249677845,-5.47389745115931,23.36018943786621,224,30.904436664584864
1744911806.6333039,217.40774791559554,30.0,56.255801249677845,-5.47389745115931,23.36018943786621,224,30.904436664584864
1744911806.6846635,217.40774791559554,30.0,56.255801249677845,-5.47389745115931,23.36018943786621,224,30.904436664584864
1744911806.735552,217.40774791559554,30.0,56.255801249677845,-5.47389745115931,23.36018943786621,224,30.904436664584864
1744911806.786408,223.06730828856413,30.0,54.45266887483491,-5.525994691607308,23.3026123046875,229,31.45997311723488
1744911806.8378701,223.06730828856413,30.0,54.45266887483491,-5.525994691607308,23.3026123046875,229,31.45997311723488
1744911806.8893611,223.06730828856413,30.0,54.45266887483491,-5.525994691607308,23.3026123046875,229,31.45997311723488
1744911806.9401712,223.06730828856413,30.0,54.45266887483491,-5.525994691607308,23.3026123046875,229,31.45997311723488
1744911806.9912732,228.02516907387673,30.0,38.193895329239794,-5.490996415850472,23.029672622680664,226,32.082550727293324
1744911807.0421855,228.02516907387673,30.0,38.193895329239794,-5.490996415850472,23.029672622680664,226,32.082550727293324
1744911807.0930803,228.02516907387673,30.0,38.193895329239794,-5.490996415850472,23.029672622680664,226,32.082550727293324
1744911807.1439118,228.02516907387673,30.0,38.193895329239794,-5.490996415850472,23.029672622680664,226,32.082550727293324
1744911807.1950712,228.02516907387673,30.0,38.193895329239794,-5.490996415850472,23.029672622680664,226,32.082550727293324
1744911807.2456968,228.02516907387673,30.0,38.193895329239794,-5.490996415850472,23.029672622680664,226,32.082550727293324
1744911807.2963238,233.0831496352638,30.0,24.193709955364284,-5.595088090655159,22.355609893798828,220,32.722213550090146
1744911807.3477323,233.0831496352638,30.0,24.193709955364284,-5.595088090655159,22.355609893798828,220,32.722213550090146
1744911807.3987472,233.0831496352638,30.0,24.193709955364284,-5.595088090655159,22.355609893798828,220,32.722213550090146
1744911807.4498918,233.0831496352638,30.0,24.193709955364284,-5.595088090655159,22.355609893798828,220,32.722213550090146
1744911807.5006385,237.56295177649707,30.0,24.832120906896204,-5.833440744158578,20.83211326599121,217,33.1755368360121
1744911807.5518272,237.56295177649707,30.0,24.832120906896204,-5.833440744158578,20.83211326599121,217,33.1755368360121
1744911807.6028326,237.56295177649707,30.0,24.832120906896204,-5.833440744158578,20.83211326599121,217,33.1755368360121
1744911807.65378,237.56295177649707,30.0,24.832120906896204,-5.833440744158578,20.83211326599121,217,33.1755368360121
1744911807.7047715,237.56295177649707,30.0,24.832120906896204,-5.833440744158578,20.83211326599121,217,33.1755368360121
1744911807.7555776,242.149624453617,30.0,28.97875778031492,-5.915191007372689,19.891841888427734,217,33.56416994854902
1744911807.8066506,242.149624453617,30.0,28.97875778031492,-5.915191007372689,19.891841888427734,217,33.56416994854902
1744911807.8576126,242.149624453617,30.0,28.97875778031492,-5.915191007372689,19.891841888427734,217,33.56416994854902
1744911807.9088187,242.149624453617,30.0,28.97875778031492,-5.915191007372689,19.891841888427734,217,33.56416994854902
1744911807.960189,242.149624453617,30.0,28.97875778031492,-5.915191007372689,19.891841888427734,217,33.56416994854902
1744911808.011063,246.14703118160776,30.0,30.07928908580615,-5.877756395098519,18.565784454345703,218,33.893037499672005
1744911808.0619538,246.14703118160776,30.0,30.07928908580615,-5.877756395098519,18.565784454345703,218,33.893037499672005
1744911808.1128387,246.14703118160776,30.0,30.07928908580615,-5.877756395098519,18.565784454345703,218,33.893037499672005
1744911808.1637356,246.14703118160776,30.0,30.07928908580615,-5.877756395098519,18.565784454345703,218,33.893037499672005
1744911808.2147644,246.14703118160776,30.0,30.07928908580615,-5.877756395098519,18.565784454345703,218,33.893037499672005
1744911808.2654052,250.21006088360755,30.0,29.457338890173958,-5.847610059496713,17.77773094177246,219,34.23988790996117
1744911808.316541,250.21006088360755,30.0,29.457338890173958,-5.847610059496713,17.77773094177246,219,34.23988790996117
1744911808.36821,250.21006088360755,30.0,29.457338890173958,-5.847610059496713,17.77773094177246,219,34.23988790996117
1744911808.4193764,250.21006088360755,30.0,29.457338890173958,-5.847610059496713,17.77773094177246,219,34.23988790996117
1744911808.4708216,250.21006088360755,30.0,29.457338890173958,-5.847610059496713,17.77773094177246,219,34.23988790996117
1744911808.521837,253.749340067113,30.0,29.06438786193937,-5.8573458459347005,16.659557342529297,219,34.547141231638534
1744911808.5725858,253.749340067113,30.0,29.06438786193937,-5.8573458459347005,16.659557342529297,219,34.547141231638534
1744911808.6235764,253.749340067113,30.0,29.06438786193937,-5.8573458459347005,16.659557342529297,219,34.547141231638534
1744911808.6745613,253.749340067113,30.0,29.06438786193937,-5.8573458459347005,16.659557342529297,219,34.547141231638534
1744911808.7255962,253.749340067113,30.0,29.06438786193937,-5.8573458459347005,16.659557342529297,219,34.547141231638534
1744911808.7764773,257.4004771490273,30.0,29.167551039163243,-5.8785700147121664,16.038999557495117,220,34.866425488661434
1744911808.8274586,257.4004771490273,30.0,29.167551039163243,-5.8785700147121664,16.038999557495117,220,34.866425488661434
1744911808.8785155,257.4004771490273,30.0,29.167551039163243,-5.8785700147121664,16.038999557495117,220,34.866425488661434
1744911808.929523,257.4004771490273,30.0,29.167551039163243,-5.8785700147121664,16.038999557495117,220,34.866425488661434
1744911808.980719,257.4004771490273,30.0,29.167551039163243,-5.8785700147121664,16.038999557495117,220,34.866425488661434
1744911809.031106,260.62548044564227,30.0,29.325758710908246,-5.8870068070858235,15.253816604614258,221,35.15174699745768
