Time,Distance,Bank,Error_Distance,Heading_Error,Tangent_Direction,Speed,Circle_Direction,Heading,Bearing_to_Plane
1744926060.4424765,56.5405082015751,-29.9999999999993,6.540508201575101,166.62923510699096,191.62923510699096,9.280406951904297,CCW,25,101.62923510699096
1744926060.4934797,56.5405082015751,-29.99999999999951,6.540508201575101,166.62923510699096,191.62923510699096,9.280406951904297,CCW,25,101.62923510699096
1744926060.544881,56.5405082015751,-29.999999999999655,6.540508201575101,166.62923510699096,191.62923510699096,9.280406951904297,CCW,25,101.62923510699096
1744926060.5960362,56.5405082015751,-29.99999999999976,6.540508201575101,166.62923510699096,191.62923510699096,9.280406951904297,CCW,25,101.62923510699096
1744926060.6468794,56.463889567650966,-29.99999999999983,6.463889567650966,170.17851629658844,189.17851629658844,9.320840835571289,CCW,19,99.17851629658844
1744926060.6982954,56.463889567650966,-29.99999999999988,6.463889567650966,170.17851629658844,189.17851629658844,9.320840835571289,CCW,19,99.17851629658844
1744926060.7492423,56.463889567650966,-29.999999999999915,6.463889567650966,170.17851629658844,189.17851629658844,9.320840835571289,CCW,19,99.17851629658844
1744926060.8004644,56.463889567650966,-29.99999999999994,6.463889567650966,170.17851629658844,189.17851629658844,9.320840835571289,CCW,19,99.17851629658844
1744926060.8517115,56.463889567650966,-29.999999999999957,6.463889567650966,170.17851629658844,189.17851629658844,9.320840835571289,CCW,19,99.17851629658844
1744926060.9022079,56.338916976007,-29.999999999999968,6.338916976006999,171.90329352397947,186.90329352397947,9.313287734985352,CCW,15,96.90329352397947
1744926060.9532595,56.338916976007,-29.999999999999975,6.338916976006999,171.90329352397947,186.90329352397947,9.313287734985352,CCW,15,96.90329352397947
1744926061.0042894,56.338916976007,-29.999999999999982,6.338916976006999,171.90329352397947,186.90329352397947,9.313287734985352,CCW,15,96.90329352397947
1744926061.0555415,56.338916976007,-29.999999999999986,6.338916976006999,171.90329352397947,186.90329352397947,9.313287734985352,CCW,15,96.90329352397947
1744926061.106604,56.338916976007,-29.99999999999999,6.338916976006999,171.90329352397947,186.90329352397947,9.313287734985352,CCW,15,96.90329352397947
1744926061.1574562,56.15146545432685,-29.999999999999993,6.151465454326853,175.41782761251653,184.41782761251653,9.324788093566895,CCW,9,94.41782761251653
1744926061.2086077,56.15146545432685,-29.999999999999993,6.151465454326853,175.41782761251653,184.41782761251653,9.324788093566895,CCW,9,94.41782761251653
1744926061.2594132,56.15146545432685,-29.999999999999993,6.151465454326853,175.41782761251653,184.41782761251653,9.324788093566895,CCW,9,94.41782761251653
1744926061.3106954,56.15146545432685,-29.999999999999993,6.151465454326853,175.41782761251653,184.41782761251653,9.324788093566895,CCW,9,94.41782761251653
1744926061.3622632,56.15146545432685,-29.999999999999993,6.151465454326853,175.41782761251653,184.41782761251653,9.324788093566895,CCW,9,94.41782761251653
1744926061.4132257,55.90635735929741,-29.999999999999993,5.9063573592974095,178.14273711081518,182.14273711081518,9.390390396118164,CCW,4,92.14273711081518
1744926061.4646432,55.90635735929741,-29.999999999999993,5.9063573592974095,178.14273711081518,182.14273711081518,9.390390396118164,CCW,4,92.14273711081518
1744926061.5156434,55.90635735929741,-29.999999999999993,5.9063573592974095,178.14273711081518,182.14273711081518,9.390390396118164,CCW,4,92.14273711081518
1744926061.566784,55.90635735929741,-29.999999999999993,5.9063573592974095,178.14273711081518,182.14273711081518,9.390390396118164,CCW,4,92.14273711081518
1744926061.6180644,55.90635735929741,-29.999999999999993,5.9063573592974095,178.14273711081518,182.14273711081518,9.390390396118164,CCW,4,92.14273711081518
1744926061.669232,55.597318424355784,-11.999999999999993,5.597318424355784,-178.3210386992762,179.6789613007238,9.361522674560547,CCW,358,89.67896130072381
1744926061.720598,55.597318424355784,0.600000000000005,5.597318424355784,-178.3210386992762,179.6789613007238,9.361522674560547,CCW,358,89.67896130072381
1744926061.7715611,55.597318424355784,9.420000000000003,5.597318424355784,-178.3210386992762,179.6789613007238,9.361522674560547,CCW,358,89.67896130072381
1744926061.8225012,55.597318424355784,15.594000000000001,5.597318424355784,-178.3210386992762,179.6789613007238,9.361522674560547,CCW,358,89.67896130072381
1744926061.8736145,55.219354263913665,19.9158,5.219354263913665,-174.58548278873548,177.41451721126452,9.292915344238281,CCW,352,87.41451721126452
1744926061.9254754,55.219354263913665,22.94106,5.219354263913665,-174.58548278873548,177.41451721126452,9.292915344238281,CCW,352,87.41451721126452
1744926061.9763854,55.219354263913665,25.058742,5.219354263913665,-174.58548278873548,177.41451721126452,9.292915344238281,CCW,352,87.41451721126452
1744926062.0276213,55.219354263913665,26.5411194,5.219354263913665,-174.58548278873548,177.41451721126452,9.292915344238281,CCW,352,87.41451721126452
1744926062.078956,55.219354263913665,27.57878358,5.219354263913665,-174.58548278873548,177.41451721126452,9.292915344238281,CCW,352,87.41451721126452
1744926062.1302176,54.75239668108699,28.305148506,4.752396681086992,-171.04508942663966,174.95491057336034,9.397457122802734,CCW,346,84.95491057336034
1744926062.1817317,54.75239668108699,28.813603954199998,4.752396681086992,-171.04508942663966,174.95491057336034,9.397457122802734,CCW,346,84.95491057336034
1744926062.2329795,54.75239668108699,29.16952276794,4.752396681086992,-171.04508942663966,174.95491057336034,9.397457122802734,CCW,346,84.95491057336034
