Time,Distance,Bank,Error_Distance,Heading_Error,Tangent_Direction,Speed,Circle_Direction,Heading,Bearing_to_Plane
1744926056.2396603,52.02387633131116,-26.49671438188183,2.0238763313111576,143.84505283675287,230.84505283675287,8.418875694274902,CCW,87,140.84505283675287
1744926056.2910724,52.02387633131116,-27.54770006731728,2.0238763313111576,143.84505283675287,230.84505283675287,8.418875694274902,CCW,87,140.84505283675287
1744926056.3426607,52.02387633131116,-28.283390047122094,2.0238763313111576,143.84505283675287,230.84505283675287,8.418875694274902,CCW,87,140.84505283675287
1744926056.3935394,52.561964085429075,-28.798373032985463,2.561964085429075,145.71396070369053,228.71396070369053,8.536348342895508,CCW,83,138.71396070369053
1744926056.4447606,52.561964085429075,-29.158861123089824,2.561964085429075,145.71396070369053,228.71396070369053,8.536348342895508,CCW,83,138.71396070369053
1744926056.4959447,52.561964085429075,-29.411202786162875,2.561964085429075,145.71396070369053,228.71396070369053,8.536348342895508,CCW,83,138.71396070369053
1744926056.5474334,52.561964085429075,-29.58784195031401,2.561964085429075,145.71396070369053,228.71396070369053,8.536348342895508,CCW,83,138.71396070369053
1744926056.5986042,52.561964085429075,-29.71148936521981,2.561964085429075,145.71396070369053,228.71396070369053,8.536348342895508,CCW,83,138.71396070369053
1744926056.6493788,53.131708804647445,-29.798042555653865,3.1317088046474453,147.36036041628643,226.36036041628643,8.72895622253418,CCW,79,136.36036041628643
1744926056.7009993,53.131708804647445,-29.858629788957703,3.1317088046474453,147.36036041628643,226.36036041628643,8.72895622253418,CCW,79,136.36036041628643
1744926056.7523706,53.131708804647445,-29.90104085227039,3.1317088046474453,147.36036041628643,226.36036041628643,8.72895622253418,CCW,79,136.36036041628643
1744926056.803708,53.131708804647445,-29.930728596589272,3.1317088046474453,147.36036041628643,226.36036041628643,8.72895622253418,CCW,79,136.36036041628643
1744926056.8550951,53.131708804647445,-29.951510017612488,3.1317088046474453,147.36036041628643,226.36036041628643,8.72895622253418,CCW,79,136.36036041628643
1744926056.9060504,53.63628432091469,-29.96605701232874,3.6362843209146902,149.1689938185068,224.1689938185068,8.83340835571289,CCW,75,134.1689938185068
1744926056.9576907,53.63628432091469,-29.976239908630117,3.6362843209146902,149.1689938185068,224.1689938185068,8.83340835571289,CCW,75,134.1689938185068
1744926057.009048,53.63628432091469,-29.98336793604108,3.6362843209146902,149.1689938185068,224.1689938185068,8.83340835571289,CCW,75,134.1689938185068
1744926057.0602636,53.63628432091469,-29.988357555228756,3.6362843209146902,149.1689938185068,224.1689938185068,8.83340835571289,CCW,75,134.1689938185068
1744926057.1118774,53.63628432091469,-29.991850288660128,3.6362843209146902,149.1689938185068,224.1689938185068,8.83340835571289,CCW,75,134.1689938185068
1744926057.1625135,54.12836910307879,-29.994295202062087,4.128369103078789,150.75881795060695,221.75881795060695,8.853276252746582,CCW,71,131.75881795060695
1744926057.2136748,54.12836910307879,-29.99600664144346,4.128369103078789,150.75881795060695,221.75881795060695,8.853276252746582,CCW,71,131.75881795060695
